,t,S0,E0,I0,R0,D0,beta,gamma,sigma,f,c,data
0,0,59999430.09470066,27.292012174693024,42.789531438692094,-32.22273255415656,8.657504994675465,0.3372078302465917,0.03154289547513891,0.09831981190173296,0.037229630022102896,0.0024849274817975693,2020-02-24 18:00:00
1,1,59995791.384646505,888.4867756947257,516.0697556176408,130.53614334167165,-2.8244656051022097,0.41280361752611316,0.21751145992776436,0.09670715929938208,0.0813176371871418,0.004695211628200266,2020-03-02 18:00:00
2,2,59996958.766910635,3217.173080769112,3916.2185093005937,666.753694811679,221.14535432775313,0.6427561114160241,0.044964166917925416,0.09252657756296451,0.025422611597630308,0.005722760882903198,2020-03-09 18:00:00
3,3,59967147.18002068,1004.8704115805098,9342.320896770854,2324.9186728501268,2270.6221145426102,0.5367978335853029,0.30781235458435946,0.09452384312794891,0.07328775346248803,0.002022009839315869,2020-03-16 17:00:00
4,4,59945731.82409619,469.1587496758902,42681.428285763555,7389.182580536091,5249.656255474535,0.12209487892213806,0.02941381080669986,0.09181383892353234,0.0876231858775323,0.0018560438389501797,2020-03-23 17:00:00
5,5,59900505.803454906,3822.7909428334915,79204.80808538814,9611.273752674224,13155.906945786921,0.012062320731455186,0.02990402283890119,0.10186177236973036,2.5610797185128196e-05,0.0059000609224746136,2020-03-30 17:00:00
6,6,59890492.317481786,2647.2490000481152,99802.33480045047,12206.48150104165,16379.888850210365,0.034241614945979396,0.14556534715341304,0.08479424230342596,0.013678013968491658,0.006467548615051778,2020-04-06 17:00:00
7,7,59867715.83272543,2216.293174742427,103467.14514685326,29445.849354065536,21303.645455549773,0.15245468674884322,0.048912244559527175,0.09642627511458957,0.002596091215886883,0.0075903502053817455,2020-04-13 17:00:00
8,8,59849309.52693607,4838.837705665936,109949.66320692791,40246.11636501535,23785.176475847693,0.1900489562899353,0.05981408083884093,0.09445859467496776,0.007016831601993696,0.0022286629963117533,2020-04-20 17:00:00
9,9,59826095.2849124,4682.073151502512,106777.32893417125,67948.59412550041,27158.31729762212,0.023751691779283816,0.0415286402587151,0.1025188509333394,0.005146605106538309,0.002910428740542207,2020-04-27 17:00:00
10,10,59816754.89153307,5186.054619502111,95545.52112277978,89879.77389050221,29891.54393767249,0.0033131537184281283,0.06076216398289208,0.09374348867693036,0.006311764466706711,0.009245218498270955,2020-05-04 17:00:00
11,11,59811692.12703823,1978.1500356639576,83941.33963415284,91846.13181135563,31232.62082912149,0.04635380354121492,0.47525773183354675,0.09071166278792898,0.0022482500362128333,0.0036471000694152907,2020-05-11 17:00:00
12,12,59804393.56456696,4034.043234580181,63347.083129397084,124358.24465440247,31627.433550311158,0.024722610673156144,0.2666912448984302,0.0955758127702006,0.013906162875793741,0.008013821417917807,2020-05-18 17:00:00
13,13,59802983.94760809,9149.5781591074,54056.988852108734,148297.12100934424,32947.49781345455,0.02031454938265774,0.07914171583744983,0.09060590112981048,0.0023999300627142255,0.005197186694095981,2020-05-25 17:00:00
14,14,59800209.62646624,38590.40107675529,41413.81523564605,155925.29690168996,33443.212828098716,0.02314632605588766,0.08684904623307337,0.08307364806303923,0.0035003234784696754,0.009989039034588686,2020-06-01 17:00:00
15,15,59798902.164396286,48382.73476384471,31441.229178737918,162543.6915855612,33917.86814563999,0.00933831847605903,0.336238320637783,0.09280927234850601,0.0005637743479606134,0.005924989423271648,2020-06-08 17:00:00
16,16,59797029.86267606,896.2126966480357,25216.184411054164,176923.31950440517,34528.32676622935,0.016133270521384788,0.8044827864323982,0.10116368942161019,0.0062493459409286274,0.0009285273554469404,2020-06-15 17:00:00
17,17,59796186.95220535,7599.443544685774,21283.627448980747,180500.9300242465,34672.160317611524,0.06030357614113816,0.8946927059368157,0.09605464778335145,0.00862542651904722,0.0020960797748461857,2020-06-22 17:00:00
18,18,59794069.69286186,31303.575611140604,16658.943188544075,189746.48017610793,34728.1764385406,0.0017997135760981658,0.050346848990582435,0.08427220962230557,0.002747997400121683,0.0023563190711737205,2020-06-29 17:00:00
19,19,59792985.45563228,14465.03859228609,14085.285024753828,192925.11451814318,34868.98837464102,0.02312498403957657,0.15100178746298498,0.08833099773952807,0.006272160374162179,0.0061851594703286545,2020-07-06 17:00:00
20,20,59791354.5110053,24633.39699831637,13321.14566880291,194843.63761689616,34976.93659768724,0.023418792944035028,0.0987337469010841,0.09847049862772003,0.004432029776670356,0.007576080844777609,2020-07-13 17:00:00
21,21,,,,,,,,,,,2020-07-20 17:00:00
22,22,59790000.68636135,8256.110693223942,12305.99113396579,198259.22323122722,35100.54238085318,0.08607010371981187,0.08455629772277443,0.08538553654156412,0.004237881041592758,0.004643381309783272,2020-07-27 17:00:00
23,23,59786465.203445196,27078.470610016662,12963.533308186034,199647.06710493282,35176.82009778761,0.06943247926756292,0.07894046239180152,0.08772769129123026,0.001637361972891844,0.0038237089620550614,2020-08-03 17:00:00
24,24,59785247.30189165,11772.018665770584,13299.184591443654,201823.98439072564,35117.29126389185,0.03812413583255517,0.04485870842399493,0.08631529850319584,0.006442233754828601,0.008110583957908474,2020-08-10 17:00:00
25,25,59780990.73186621,8678.413625344569,18545.004185045873,203951.46229292642,35412.225019959566,0.12005349156857109,0.03201553724760421,0.10217746959029388,0.000378491288941048,0.0016745313923750694,2020-08-17 17:00:00
26,26,59771625.65915293,57405.7038072787,16377.51430379376,206081.8464671759,35452.13573542931,0.029716658770552445,0.054068090281949865,0.09016722263787509,1.9914331917647558e-05,0.009870822182766054,2020-08-24 17:00:00
27,27,59767091.64128119,24195.98136736735,22698.25199566565,208034.37210100965,35474.635757504555,0.15071236031205662,0.07671672999063643,0.09183660345360267,0.0021950195690547043,0.009653122895881395,2020-08-31 17:00:00
28,28,59756139.127899215,78995.6159051022,33864.59890727497,209834.5214425935,35570.346863248466,0.1244246161001061,0.043378971953842514,0.08788180850322995,0.00031845933521987534,0.005835182306773016,2020-09-07 17:00:00
29,29,59742386.45746211,69500.63973720449,41659.837438186805,215625.71021511088,35608.762135520104,0.0038946697121415917,0.1004012205932447,0.08680396830027162,0.0011662090489202898,0.007500429007883176,2020-09-14 17:00:00
30,30,59736073.00570691,9960.511798559663,45931.1092476515,218340.42911400404,35725.597735269424,0.06239838694654925,0.09574372455556311,0.08409825368676282,0.001931251869324575,0.002923589012316227,2020-09-21 17:00:00
31,31,59725154.90964452,47631.94668269723,53563.798594903885,226262.32677879863,35961.32044109948,0.0007328015987669965,0.07574543937527148,0.0976879120233604,0.0005792320447844769,0.002519167518758388,2020-09-28 17:00:00
32,32,59715572.0691194,21522.269238303685,67572.00913385567,234648.9509270139,35923.50978696269,0.17083804414724765,0.05156757010349795,0.08683867040712459,0.0005111260172855016,0.0033646631027867647,2020-10-05 17:00:00
33,33,59631484.19946725,51784.9844599312,83038.83418381702,243051.1889124934,36252.12578657297,0.14704663712760732,0.0005597878720632098,0.09559384744498446,0.0009636213032231513,0.008484612249121755,2020-10-12 17:00:00
34,34,59623379.7735574,47003.696083759576,69571.04525399437,246768.20150135405,36414.67183221048,0.21290843468940646,0.07465551626463213,0.09135190804366693,0.0022719322999711134,0.007253603590292337,2020-10-19 17:00:00
35,35,59530142.784685105,36191.50668161291,151168.1395810066,258958.94260181775,38572.13240424034,0.26194022689414564,0.06473426330747994,0.09774242787304756,0.0026089121892766674,0.006986271536460015,2020-10-26 17:00:00
36,36,59320180.16603668,34704.72250181809,392518.9430774282,301715.1646681209,38046.536100721256,0.2816472886895774,0.052224706221237704,0.08793953261714595,0.0031780473822475472,0.004902591401970786,2020-11-02 17:00:00
37,37,59151615.876379065,61421.18085253458,435014.56285703427,349513.69641103985,43753.09784742633,0.22391094157336824,0.05673539803577325,0.09975791233397177,0.0017155819170248973,0.0016619509815649222,2020-11-09 17:00:00
38,38,58953586.12713212,10247.524970283488,672660.6750862275,413722.3016230491,43270.90924298673,0.10808098358790796,0.01723180369252098,0.08902297059482867,0.0036283970742201697,0.0011757420363220712,2020-11-16 17:00:00
39,39,58617096.8850295,60968.790610118114,794972.4686941475,570078.9839260068,50931.27731359442,0.1502980943706329,0.04649350162009745,0.08810218084324568,0.0015964974574986747,0.004513890393022746,2020-11-23 17:00:00
40,40,58437693.62390048,69515.46589882085,804363.1410764823,719899.867815496,57180.46036126882,0.12745171273672448,0.025713419403617883,0.09167470317222157,0.0026303294349989815,0.00235054178229603,2020-11-30 17:00:00
41,41,58324280.0728572,7478.3060434478275,721230.295850964,1033232.0675901725,60078.31176175765,0.01759003448039173,0.07855467661719637,0.10060540133294069,0.005842377754755118,0.002267342640347177,2020-12-07 17:00:00
42,42,58248287.0569964,2810.6583798492998,686817.8387938743,1086513.243621459,64000.70201116701,0.0056201461184069166,0.02534848327500641,0.08516734367158778,0.0010433109495345918,0.005128293863009315,2020-12-14 17:00:00
43,43,58111097.79923746,52536.69917362298,609728.5925564418,1308495.8783239478,70310.09609562007,0.1563651984195117,0.05801144891972106,0.0935768669873474,0.0010387513663099627,0.005177419677496179,2020-12-21 17:00:00
44,44,58026395.57969225,65189.365068417996,578470.4228197014,1411946.0013645461,72798.14458251344,0.11519617560601345,0.019707751013169038,0.089102398383142,0.0014409173859594225,0.006124112220342079,2020-12-28 17:00:00
45,45,57844966.09225459,47894.48520438836,570289.694991094,1562416.5319976064,74344.56373411915,0.045462315398727166,0.022730412424183187,0.09476784058765936,0.0036272362516243696,0.004802724669303497,2021-01-04 17:00:00
46,46,57838161.791741915,89805.63171889,582461.0038593007,1636974.6141695625,78470.38430321844,0.02331109446737863,0.011762122656785933,0.09605377688806423,0.0015349199187796923,0.0027942450824431607,2021-01-11 17:00:00
47,47,57737238.15777871,61309.32010290058,538120.8480974993,1710145.5383622085,84207.48452682233,0.08164693507513703,0.006832175887937915,0.09179841713862423,0.002954247985499592,1.4012058335250473e-05,2021-01-18 17:00:00
