,t,S0,E0,I0,R0,D0,beta,gamma,sigma,f,c,data
0,0,259971.8309227576,563929.1992982308,48450.613420667854,376.0919872631071,276.4962358010624,0.018304608203511794,0.014294463063356985,0.03672919934371537,0.035289428190862636,0.001032429202804215,2020-02-24 18:00:00
1,1,2297674.259767205,1528417.4187963214,972249.2581481398,22104.133847200526,13381.690780226962,0.05251250867306201,0.040848644471987,0.017129883165521154,0.015621759584596894,0.0007615393389792435,2020-03-02 18:00:00
2,2,22677260.617990166,1078663.1709935714,14612999.6071231,155063.6244379481,166529.1977434982,0.03011390432507391,0.007739099172632284,0.11408714174878352,0.01180336096961381,0.002737652487264622,2020-03-09 18:00:00
3,3,29359665.822650958,122828.06666212449,11266335.723923208,145790.3365073057,209315.37980716422,0.005702363585348273,0.018043958215090812,0.008202646428128443,0.003870589496722811,0.0001776862796467822,2020-03-16 17:00:00
4,4,29542.051762589712,5466.54233925653,18899.59663603113,17202.15827860907,21204.11832378539,5.120851578462532e-06,7.41554102434609e-07,2.002637221044173e-05,2.463775226536642e-06,6.566799585650425e-05,2020-03-23 17:00:00
5,5,1.2210288335979074e-11,9.91810233966321e-21,2.0218888209196916e-17,1.937720215742344e-19,9.294201362645134e-21,3.721089245550562e-30,1.3267731386885015e-30,3.677929155496917e-29,8.29233211680331e-30,1.615963075417744e-28,2020-03-30 17:00:00
6,6,2.613964600328843e-12,1.0601477602725869e-19,6.759852314680914e-17,4.5914612045997e-18,9.224188795599446e-19,3.8567950842566994e-29,4.930380657631188e-30,3.0660997307642277e-29,1.2675056539153903e-30,1.248050752211478e-30,2020-04-06 17:00:00
7,7,5.440647932175862e-13,4.566442299793281e-19,3.337500394594994e-17,4.777795218106641e-21,8.878096427307048e-19,5.243344273594022e-30,4.347798886516348e-30,5.384098937649544e-28,2.3303752327086177e-30,2.24120768554911e-30,2020-04-13 17:00:00
8,8,3630.0065767358874,15368.236073300306,217.77755216038233,42735.24276604804,373.08255298279613,2.1947385717159666e-06,2.7961107633196445e-05,0.0006876308218116215,2.602336818393924e-06,2.0636001609725663e-08,2020-04-20 17:00:00
9,9,13278.07099384412,149312.01187127733,107873.9483226043,49295.86322925822,3474.4200057021535,6.867826430590747e-06,4.787736525834291e-06,0.0003293704213336531,6.113054919700754e-07,3.666145821684954e-05,2020-04-27 17:00:00
