,t,S0,E0,I0,R0,D0,beta,gamma,sigma,c,f,data
0,0,59999742.68349464,3442.18664121557,80.06100165007581,32.336543008029714,18.571428571428573,0.38564376829336283,0.0003132298789018942,0.06410718664536649,9.999522988636302e-05,1.5600256263640208e-18,2020-02-24 18:00:00
1,1,59997963.99999999,6442.195533444431,1471.5529145955886,297.68173240860534,168.8445766946103,0.2689644929148505,0.011499083151130775,0.12195121950996489,9.999999998891901e-05,1.558075169746693e-06,2020-03-02 18:00:00
2,2,59990827.99996565,39744.19480350289,6701.928214731552,923.830592282951,700.5481132950625,0.2128133511131049,0.015036112321608959,0.06410256410517595,9.999999954997963e-05,0.011600325097785904,2020-03-09 18:00:00
3,3,59972013.748098716,81375.34823307833,21687.435455833504,2898.80339709921,2328.5222573503165,0.1661115857278711,0.020028844013125987,0.06410256486332655,9.999999984205523e-05,0.015039831684081743,2020-03-16 17:00:00
4,4,59935493.2940908,89107.44803260945,49902.78550126703,7641.182960461518,6167.995714513544,0.0950952212636462,0.01538924132476959,0.06410256410855243,9.999999886677379e-05,0.012847639880948551,2020-03-23 17:00:00
5,5,59898187.63432084,37437.57747447198,75150.21309981139,14697.39906063194,11803.584277033498,0.05636849450333966,0.015043906354103862,0.12195121520678054,9.999999999999999e-05,0.008606114181422422,2020-03-30 17:00:00
6,6,59867452.99999999,62762.464749909916,92505.50964569492,22784.495656024264,16616.352091463556,0.04062119917187123,0.019967393877172317,0.06410256410544377,9.999973908827875e-05,0.005754981133652934,2020-04-06 17:00:00
7,7,59840483.99999999,27728.50596779882,103593.82045955563,34901.74721530925,20521.904916689244,0.030656217334507376,0.018684930007565565,0.12195116919260382,1.960007427640553e-61,0.005134174101343953,2020-04-13 17:00:00
8,8,59818581.12755663,43140.4566278823,108262.44398353825,49014.92171155759,24203.45178029523,0.026024086481048994,0.02569852951531512,0.06410257648387298,9.999999999999999e-05,0.003971310519506287,2020-04-20 17:00:00
9,9,59800455.62625817,15135.792135665752,106050.96145230322,66673.98688203144,27031.544282012168,0.01863722076259621,0.025539156706414805,0.12195121767413257,9.999999999999999e-05,0.0030147865389440385,2020-04-27 17:00:00
