,t,S0,E0,I0,R0,D0,beta,gamma,sigma,c,f,data
0,0,59999750.28568778,2184.0036360038275,84.21008345577752,32.71420150290402,18.571428571428573,0.38866333761815136,3.867353630728969e-35,0.10299827704175159,9.999999999999999e-05,2.2800912977529262e-37,2020-02-24 18:00:00
1,1,59997963.99999995,7646.437269031554,1463.7879135869046,293.1322053021611,164.72405637801666,0.2687030263769079,0.012071659953455036,0.10299998747211618,9.999975226712486e-05,0.0005128008502204971,2020-03-02 18:00:00
2,2,59990827.99999999,30738.099872849256,6713.405982831305,937.1690599224978,713.905788976229,0.2128756104044609,0.014602125680609318,0.0830000000013399,9.999999998696349e-05,0.01116793180938802,2020-03-09 18:00:00
3,3,59972019.999876626,62905.72302787024,21703.95703488701,2918.146718140348,2348.128034365321,0.16615266061905348,0.019797183947742727,0.08300000000616851,9.999999997379415e-05,0.014807245098519519,2020-03-16 17:00:00
4,4,59935501.475393765,68954.8985095304,49901.97300058676,7649.0399895019,6175.847389833091,0.09510467701222336,0.015342105133294658,0.08300000046440525,9.999999227177929e-05,0.01280064895355813,2020-03-23 17:00:00
5,5,59898180.57047835,44357.890614472126,75142.82167200543,14691.058317526875,11797.177175179331,0.05634748687409814,0.015071028505951056,0.10299999935092373,9.999999999999999e-05,0.008633258784863927,2020-03-30 17:00:00
6,6,59867452.99999999,48405.80295830597,92513.20436606002,22796.07523196128,16628.04489734841,0.04062241009383472,0.019925728306354487,0.0830000000023935,9.999999416376962e-05,0.005713703882190022,2020-04-06 17:00:00
7,7,59840483.99999999,32718.74726059091,103604.13778734558,34904.0409959431,20524.300582674856,0.030661168671778538,0.018677464880769386,0.10299993633426312,5.134676263879371e-44,0.005126522255892804,2020-04-13 17:00:00
8,8,59818581.91368299,33290.41710237263,108264.43157998136,49015.63982986984,24204.20229309521,0.026022190602190933,0.025696231352164936,0.08300000991956594,9.999999996568127e-05,0.003968973203250275,2020-04-20 17:00:00
9,9,59800451.630012415,18015.77148376055,106042.09203463893,66670.21236947089,27027.61379514884,0.018625569934216536,0.025551633077664483,0.10299999953201978,9.999999999999999e-05,0.0030274125373409683,2020-04-27 17:00:00
10,10,59788061.99999999,10920.923505109058,99989.23642015489,83084.8369152351,29155.964351260925,0.013385230590328067,0.041862879870926836,0.10299999994818124,9.999999999999996e-05,0.002563853287402212,2020-05-04 17:00:00
11,11,59779880.946922995,9498.918330907016,83412.80035295947,105895.12263383153,30674.47977696301,0.011786420046997714,0.042449054009045535,0.1029998689445344,5.431731853190711e-13,0.002824889891383715,2020-05-11 17:00:00
12,12,59774070.51705344,6145.266077382441,66651.35293966134,127347.75732479477,32044.97530715858,0.010737392443562819,0.036072128600286274,0.10299999191420982,9.999999999999999e-05,0.002106471382334859,2020-05-18 17:00:00
13,13,59769841.99999999,6073.842617329061,55499.431622222844,141769.91912099512,32859.462455970264,0.009767041485904113,0.053635808024013194,0.08300109260897727,1.8900483761120492e-09,0.0018642124367532081,2020-05-25 17:00:00
