,t,S0,I0,R0,beta,gamma,data
0,0,59999651.40266073,233.50292919855852,17.67741411412978,0.32092648945470403,0.028194422617702677,2020-02-24 18:00:00
1,1,59997897.53297833,1407.7569766088166,177.93958758053594,0.2940246427527508,0.04705001439261896,2020-03-02 18:00:00
2,2,59991183.63746454,6664.854812007898,1129.9502640536148,0.2079801366642634,0.038250089370344194,2020-03-09 18:00:00
3,3,59974027.25486545,20504.647263145253,4772.034947159237,0.14938699808513328,0.03335846177890369,2020-03-16 17:00:00
4,4,59937556.09990142,50319.784992015084,13305.01129097954,0.07066553026926699,0.02681262700250038,2020-03-23 17:00:00
5,5,59898036.05677813,72812.65563854537,26817.970015465195,0.04538323744036881,0.01280859929332952,2020-03-30 17:00:00
6,6,59868782.20874477,94987.89899827885,40632.010497330826,0.03009016693790967,0.018963551897124193,2020-04-06 17:00:00
7,7,59840793.41784391,104336.18001785352,52375.80209951686,0.02295425898061717,0.016821526169661465,2020-04-13 17:00:00
8,8,59819179.75128232,108136.06550493209,73221.77765475708,0.009418802867292776,0.011379144432210839,2020-04-20 17:00:00
9,9,59798391.149135895,105458.22097033921,86502.14869715083,0.012201214469505265,0.014820794496069788,2020-04-27 17:00:00
10,10,59789486.859331846,102244.93800060391,106518.01750168116,0.012038928676024423,0.03550410155382304,2020-05-04 17:00:00
11,11,59782182.56221038,82456.71162790894,130248.21374696295,0.011394439570156805,0.04385944588475317,2020-05-11 17:00:00
12,12,59773284.35430492,67507.89598133475,157191.22448828898,0.008818996593895559,0.04399633646924687,2020-05-18 17:00:00
13,13,59770068.88441321,55537.55251279708,172090.77102434955,0.007969345056831827,0.044228890362971104,2020-05-25 17:00:00
14,14,59766789.363385454,40585.67572333354,191090.54614831964,0.005573727996744295,0.023153355049853906,2020-06-01 17:00:00
15,15,59764592.93926978,35741.45960562933,200741.05425633406,0.006808920123147543,0.0350044546500326,2020-06-08 17:00:00
16,16,59762802.11842105,24965.64762308736,211494.92318650373,0.006311736278114645,0.029731836083921222,2020-06-15 17:00:00
17,17,59761298.36651984,20640.76278830466,219062.72692805942,0.010938748663419817,0.03673945998948605,2020-06-22 17:00:00
18,18,59759421.60728421,16619.071867926683,224224.37156281114,0.009662222943375437,0.024074451135459665,2020-06-29 17:00:00
19,19,59758699.86999268,14183.842668837939,227749.674376014,0.011740239478420024,0.018168884433236582,2020-07-06 17:00:00
20,20,59756067.513972536,13516.377881818446,229951.71689790973,0.00915288625391247,0.025072301961521458,2020-07-13 17:00:00
21,21,59755532.31574372,12393.335218865794,232096.3476417094,0.01689193579663924,0.015581923429047524,2020-07-20 17:00:00
22,22,59753927.28208251,12554.91819280028,233337.62496128894,0.018477387142253224,0.01778288421022758,2020-07-27 17:00:00
23,23,59751976.825510874,12234.239356097583,235738.47520087322,0.02766591566091939,0.017271740353651716,2020-08-03 17:00:00
