,t,S0,I0,R0,beta,gamma,data
0,0,87781.93348459531,26124.176558160794,852.8031138231885,0.021649024074421153,0.0010382725162853311,2020-02-24 18:00:00
1,1,1451946.5589157967,847534.2812708623,37241.72292236642,0.025841359361870788,0.0009071531525869601,2020-03-02 18:00:00
2,2,12219295.13334207,8379202.582871859,513733.55142539996,0.011820536573390212,0.0005629209520385606,2020-03-09 18:00:00
3,3,64342828.505230084,35926159.051400386,2806820.54051075,0.003316398254331487,0.0003034082282143931,2020-03-16 17:00:00
4,4,52295682.31572979,12061492.650019433,4486357.188836233,0.000386450721874935,2.8781716021032194e-05,2020-03-23 17:00:00
5,5,38190723.75328332,5264366.107712545,6514457.437953007,0.00013554328528647246,7.343803257267837e-05,2020-03-30 17:00:00
6,6,4576890.454637498,565700.7613868349,3500402.744461249,4.707672987732966e-05,3.8851701814181576e-05,2020-04-06 17:00:00
7,7,47922765.78126789,176656.88036968844,23420321.808393326,8.09060690880963e-06,3.254981420843554e-05,2020-04-13 17:00:00
8,8,46729506.21354749,123975.43370242877,40792320.77891169,4.145331351924142e-06,4.272840412681871e-06,2020-04-20 17:00:00
9,9,94485.70334665995,69966.7319428053,16604428.037071021,2.6113784527030222e-05,5.190042514196684e-05,2020-04-27 17:00:00
10,10,5818338.210907641,7154044.52142596,19456893.097838216,4.114656190302883e-05,2.4501232085372592e-05,2020-05-04 17:00:00
11,11,611604.0053293578,14599790.149507022,11175701.813351218,2.9050081587158638e-05,6.925415957450828e-05,2020-05-11 17:00:00
12,12,1585627.453975526,5334615.044353841,4790115.555496449,8.868937111323272e-06,4.082192756308331e-05,2020-05-18 17:00:00
13,13,653047.8150537354,4863921.901202969,8382091.135165669,9.373350167012253e-06,7.494835597742228e-05,2020-05-25 17:00:00
14,14,250634.15269688598,4747760.3183592325,128801.60526895587,1.5344536526331987e-06,4.856593195644103e-05,2020-06-01 17:00:00
15,15,30417.59742979315,493563.6916801032,4874667.602396037,6.103686140530557e-07,1.5267020969962086e-05,2020-06-08 17:00:00
16,16,43272.06194067215,582175.8685044434,1710200.295880961,6.191079095081518e-06,4.822949157344946e-05,2020-06-15 17:00:00
17,17,69827.58258290665,650502.8162914583,845940.9336052467,2.1828570100743057e-05,9.130927908358306e-05,2020-06-22 17:00:00
18,18,7420.047625122122,25299.29489708085,90459.89522393151,1.4295464597707107e-06,7.654490200059743e-06,2020-06-29 17:00:00
19,19,179524.4085728386,87384.68015274842,6074.023522631047,6.4530923780716685e-06,9.075844991141359e-06,2020-07-06 17:00:00
20,20,100723.42507973016,16045.2388333912,47882.35987412265,2.7025468294746083e-05,2.787239184476697e-05,2020-07-13 17:00:00
21,21,20066.008559295315,1178.0071271354575,208511.66328535404,4.220334297393305e-05,2.2453755396554716e-05,2020-07-20 17:00:00
22,22,6301.6327616073495,1527.955130367479,48386.695473278865,1.6401524154818552e-05,1.9910793917558547e-05,2020-07-27 17:00:00
23,23,637778.3107151279,42923.863514967205,108403.86012042456,4.179098501126214e-05,2.481003168666846e-05,2020-08-03 17:00:00
24,24,222224.146364919,301815.23165718344,164683.52850065622,8.70353505273437e-06,6.175986644768865e-05,2020-08-10 17:00:00
25,25,743679.1850019293,669888.442341831,154680.3129460354,0.00023189962663591756,1.3593525288999728e-05,2020-08-17 17:00:00
26,26,7268149.444983566,2725596.013471841,414669.33360782417,0.00028732033141049066,2.09543447322053e-05,2020-08-24 17:00:00
27,27,2170611.0678359214,1560594.0219755531,548056.0799423129,0.0001320372761157001,1.1197490073247012e-05,2020-08-31 17:00:00
28,28,2390414.154030171,1028904.7235216768,1001568.0827163435,6.809602781052822e-05,2.803904772161358e-05,2020-09-07 17:00:00
29,29,2322144.7121014567,1785837.0232289708,450423.502452548,5.588275695349602e-05,2.236882761759897e-05,2020-09-14 17:00:00
30,30,624214.8658061154,772947.4570599293,313631.1477189919,2.988345256578895e-05,2.0586741266341304e-05,2020-09-21 17:00:00
31,31,4089301.4655549987,2199234.815621546,2689190.3109194506,6.65581632418461e-05,2.0553550753918398e-05,2020-09-28 17:00:00
32,32,12546473.32795647,21620463.019432057,2494311.4518735446,0.00022137120386257932,1.6515603163922434e-05,2020-10-05 17:00:00
