,t,S0,I0,R0,beta,gamma,data
0,0,59999776.00515532,209.78957657208468,11.923034764337222,0.4268949146778613,0.03142458998782046,2020-02-24 18:00:00
1,1,59998008.37418449,1754.534075842438,228.39069769948955,0.27879970365927836,0.04182881052577198,2020-03-02 18:00:00
2,2,59991124.611590244,7660.726205683863,1216.3278375799619,0.2206080468219719,0.039746112252620244,2020-03-09 18:00:00
3,3,59972127.819534466,23135.450290833545,4747.70823221258,0.16751634218689757,0.04070274438458772,2020-03-16 17:00:00
4,4,59935516.39819222,50833.95073581342,13657.92628438603,0.09510959833552252,0.029126514133422026,2020-03-23 17:00:00
5,5,59898153.51307594,75466.70008514091,26380.648938770995,0.056221210491634345,0.02416162183715167,2020-03-30 17:00:00
6,6,59868045.38036114,92643.61609311953,39310.61685564509,0.04199872936080605,0.02604395290448828,2020-04-06 17:00:00
7,7,59840794.68164808,103737.11842035953,55468.077397975234,0.03135765130183465,0.023674469588323848,2020-04-13 17:00:00
8,8,59818570.12503391,108223.56351791773,73206.20763530103,0.02598278205671798,0.02970840637005821,2020-04-20 17:00:00
9,9,59800415.349158525,105940.58629912934,93643.75938650899,0.018514593505049057,0.028756036562728446,2020-04-27 17:00:00
10,10,59788106.04941394,99779.94930110604,112111.022452094,0.013389570401419724,0.04489919511445824,2020-05-04 17:00:00
11,11,59779945.97518296,83398.91729909838,136656.06078353754,0.012062504431391141,0.0448950158187327,2020-05-11 17:00:00
12,12,59774050.25421851,66580.63846693844,159368.5714673011,0.010636357078029119,0.03830833196506877,2020-05-18 17:00:00
13,13,59769906.112283945,55450.867869183465,174643.2953458635,0.010089250792924904,0.05540421888498389,2020-05-25 17:00:00
14,14,59766823.15634,41295.937731841244,191880.9887070867,0.00804759521483295,0.0344876769225038,2020-06-01 17:00:00
15,15,59764778.379245885,34694.669977030266,200527.90493456784,0.009103855761658376,0.053614780635931086,2020-06-08 17:00:00
16,16,59762649.69384322,25697.66883964187,211651.58438222256,0.008125841432557856,0.04484140733752202,2020-06-15 17:00:00
17,17,59761288.36914195,20379.66518417017,218330.93809449804,0.01516465824967055,0.05064760847756639,2020-06-22 17:00:00
18,18,59759615.46569957,16080.219317746552,224304.0332146497,0.013052037648385318,0.03145065523945384,2020-06-29 17:00:00
19,19,59758241.689642124,14434.177944973946,227323.89926684645,0.015363196151196414,0.032708014267511444,2020-07-06 17:00:00
20,20,59756850.25098618,12974.480421484584,230175.22185899742,0.01641269333035574,0.025724414044079994,2020-07-13 17:00:00
21,21,59755445.5545703,12292.772962257592,232261.67294154872,0.021061011805904282,0.018519098648862108,2020-07-20 17:00:00
22,22,59753780.67492503,12576.226243856981,233643.09521167245,0.02524396724275324,0.02765963202951938,2020-07-27 17:00:00
23,23,59751908.52414368,12392.824428697902,235698.61087465935,0.03201716798008702,0.021737127187320245,2020-08-03 17:00:00
24,24,59749252.70608889,13365.19082694902,237382.0462968194,0.03810875557217379,0.021881802236165482,2020-08-10 17:00:00
25,25,59746120.22494117,14500.034174007435,239378.50009171877,0.05460321524605374,0.016059116451674803,2020-08-17 17:00:00
26,26,59739849.99657256,18988.80497078231,241161.09212303942,0.06357415191173234,0.014612253263684273,2020-08-24 17:00:00
27,27,59731029.25737611,25954.918639506857,243015.5446156315,0.05138757491162787,0.014494667845600172,2020-08-31 17:00:00
28,28,59721223.390692666,32990.995434472614,245785.72342956695,0.04316967487351876,0.01663313164719968,2020-09-07 17:00:00
29,29,59711459.204630524,39021.727344450774,249518.90488568015,0.039207525627623,0.018492136344565716,2020-09-14 17:00:00
30,30,59700708.245261826,44783.472755309,254508.1674670288,0.03787642846528162,0.02123139617760466,2020-09-21 17:00:00
31,31,59689194.16673179,49524.78398131141,261280.24494475903,0.04554615717942631,0.022024947643347535,2020-09-28 17:00:00
32,32,59673678.08372076,57242.934861829206,269071.3919650129,0.07194475466874127,0.017722940521284522,2020-10-05 17:00:00
