,t,S0,I0,R0,D0,beta,gamma,f,data
0,0,59999925.53857269,166.0499594863435,-16.649241795251815,6.889094311158292,0.41684447104460787,0.02912804873604104,0.006546915535287898,2020-02-24 18:00:00
1,1,59997213.40268614,1023.8366457474707,128.5222040477233,97.54387303735423,0.3372659489655868,0.03523976476270733,0.011679396732960428,2020-03-02 18:00:00
2,2,59989879.644075036,7055.40815343852,674.7270958044654,446.40368972417014,0.23143064621075646,0.0150606747627981,0.008532611574453008,2020-03-09 18:00:00
3,3,59979519.150528446,13105.05242839373,5007.607634373371,2313.27791923118,0.22689056950232644,0.005476371572086029,0.014911508124638673,2020-03-16 17:00:00
4,4,59936802.92725888,43360.920352742185,8458.454826575373,6370.486049152991,0.09685890509021908,0.016225401071703238,0.017904734026040002,2020-03-23 17:00:00
5,5,59912194.08865376,70391.83337551246,15816.433673752917,12205.099134414924,0.07658721907102888,0.001673921423119338,0.010762845998900391,2020-03-30 17:00:00
6,6,59891456.078246176,92769.38892797194,19923.13040492374,13900.133167255528,0.012731846608539486,0.018733937597159033,0.017032827828352096,2020-04-06 17:00:00
7,7,59853555.21025727,106611.05435036896,33038.26573401546,20184.445613539774,0.029594210118422903,0.038724523129885835,0.0024660217490406425,2020-04-13 17:00:00
8,8,59849108.1149884,107822.00076434776,34802.25001115983,24168.075302740035,0.06129420274374474,0.06512793455061887,0.005010394897024675,2020-04-20 17:00:00
9,9,59827204.48052546,103633.83972681778,76825.80317907035,26866.838531946967,0.03223006607955236,0.011045266555944025,0.0035935896917308604,2020-04-27 17:00:00
10,10,59815793.38474989,97090.95170558189,95043.59364145595,29170.187162680777,0.02278405363964799,0.0799472322366604,0.004852403065029602,2020-05-04 17:00:00
11,11,59808468.46935049,83425.12536759881,112427.69396652108,31380.67411997172,0.015449671234169602,0.04365617036986481,0.0018430063060425712,2020-05-11 17:00:00
12,12,59805761.88093528,70363.66903906719,134765.40481101797,32268.853343857267,0.015389856050505689,0.022051134215673427,0.0014904941355119883,2020-05-18 17:00:00
13,13,59803699.27640593,58099.8889309701,141150.5162104478,32718.76785360653,0.008640808146361567,0.18036393774922801,0.004712317839951589,2020-05-25 17:00:00
14,14,59800069.25627615,42052.57038061434,158653.62384673246,33757.951985819745,0.02174955323950441,0.07185491740708856,0.0026229514357662396,2020-06-01 17:00:00
15,15,59799027.479528576,33549.882637800845,170857.34144958993,34215.461685999224,0.00968439559566539,0.04319287774185007,0.0031731037576661195,2020-06-08 17:00:00
16,16,59796890.41802309,26713.08247680504,180314.33316669022,34318.80403751918,0.004159779740000719,0.015766324032508692,0.0011463431142181083,2020-06-15 17:00:00
17,17,59796707.240789086,19779.430853571146,182251.49687942243,34681.745541480566,0.04375991449607947,0.09315420887345124,0.0024884210157559835,2020-06-22 17:00:00
18,18,59793691.84458305,15364.637717078953,189917.866151085,34787.27912412977,0.011974570413546635,0.040894459634740775,0.004864231259513656,2020-06-29 17:00:00
19,19,59793626.54071731,13656.430035392714,192350.8300644311,34834.853204216204,0.026766768591070217,0.10542813833272335,0.000556866363772042,2020-07-06 17:00:00
20,20,59791473.87011371,13058.83585339323,194527.65163150593,34999.01835791563,0.0008967281549731317,0.017882860152533857,0.004367676068448431,2020-07-13 17:00:00
21,21,59790883.86127034,12411.115601524501,197240.6426767741,35010.56475486417,0.06599796670450626,0.06055263817300508,0.0004894718533067334,2020-07-20 17:00:00
