,t,S0,I0,R0,D0,beta,gamma,f,data
0,0,240054.07183310535,58543.56894239932,908.4120328608863,85.67626301517055,0.07990645511067454,0.10455670157862834,0.09741958299395864,2020-02-24 18:00:00
1,1,4243902.148409488,908449.4117487371,35806.07258999096,9564.642939126848,0.07206890990662278,0.1080480338770761,0.10389353540201146,2020-03-02 18:00:00
2,2,27463210.079651013,13668368.723533299,222194.39835199324,176942.24587295332,0.06612110238516751,0.1155935995697717,0.10533259575553884,2020-03-09 18:00:00
3,3,74112456.30718574,103213641.62205712,1567939.0169231466,2933416.7551848,0.02154361323276681,0.053076262130184244,0.043699217105667335,2020-03-16 17:00:00
4,4,191028797.6927705,32506148.19250421,3871589.0065097003,2407664.993715118,0.0008154531152822121,4.454329185647131e-05,2.2206014913891134e-05,2020-03-23 17:00:00
5,5,2042147.209612352,2349639.6739292913,424861.93340816523,23260.08921869844,5.5556879045902314e-05,8.67889555655729e-06,6.946306944938952e-06,2020-03-30 17:00:00
6,6,5.16392484328757e-12,2.594038400966197e-19,6.392782646054974e-20,1.6899630786703613e-19,1.0263280673639305e-30,2.0186454156163205e-31,3.1770508997639374e-32,2020-04-06 17:00:00
7,7,2.1762591728701797e-12,5.835209973634646e-18,5.6710179307656725e-19,3.262267987011072e-19,9.110852343166719e-32,1.0298458987779667e-32,2.762776597878885e-31,2020-04-13 17:00:00
8,8,3304.789725633713,1770.9252665805366,250230.2766330815,897.4763292148767,8.325412229314499e-07,3.5467514018471994e-07,5.8159334130644156e-11,2020-04-20 17:00:00
9,9,12683631.421524245,2794810.7189321336,24667036.690360174,399334.5794644874,4.430927497291699e-06,1.7941904922020075e-05,1.920237459723075e-06,2020-04-27 17:00:00
10,10,1.0880185641326124e-12,2.462345953491846e-17,6.709347975201471e-18,4.150461441546242e-20,4.8751982508263866e-33,1.6478738086662933e-30,1.625680475322763e-32,2020-05-04 17:00:00
11,11,515840.4274104557,5782375.915910425,8564853.148015542,363988.58785211033,4.811201417370071e-05,1.1567944021032914e-05,2.782021893239209e-06,2020-05-11 17:00:00
12,12,4373.780692206366,47237.680167065286,196483.46107254145,59.46104551037813,1.5816055447638905e-08,3.351494494881831e-06,1.128664512768238e-08,2020-05-18 17:00:00
13,13,50088.749217611294,4888729.923432702,2485790.8353157947,888.2522530456373,5.85441181642351e-07,5.274153461366328e-05,9.349945299212143e-08,2020-05-25 17:00:00
14,14,39510.95128233319,2821.5878870636534,5036.680139525097,1639.655225711532,2.2071705161217446e-07,0.0006286741895549078,8.113535455596194e-08,2020-06-01 17:00:00
15,15,58166.98341178189,320720.8048040048,422618.41451078147,2222.5516147632397,3.8403506932247274e-06,0.003666106658221042,1.0909959228356232e-06,2020-06-08 17:00:00
16,16,102151.22474376569,1507639.2385166392,219449.44784275972,295.4447980147942,5.207262576904798e-05,0.0008814521313988817,6.374364217880233e-07,2020-06-15 17:00:00
17,17,13965.405181485032,197041.17813705822,548160.778310324,46.009255874622774,7.416959894927952e-05,0.002927423839813451,3.785167256330866e-07,2020-06-22 17:00:00
18,18,4.7655768220521425e-12,1.0959812244083113e-19,9.697680213114717e-18,6.860966872759783e-20,2.2049971933289992e-30,5.631611750382966e-30,1.7696362155018563e-33,2020-06-29 17:00:00
19,19,935.6392913517687,10164.35714966679,7440.0993733013975,6.497507615141302,8.83381556885917e-07,2.612932579920941e-08,4.97353971744627e-10,2020-07-06 17:00:00
20,20,9242.120217327949,17859.72762002675,43469.75062180221,77.50986926163222,0.0001118055919684076,5.1427851047677433e-05,9.912796212232051e-08,2020-07-13 17:00:00
21,21,2.3328561304935835e-12,1.2070550370618731e-19,2.033726106357506e-18,1.4412794993123457e-18,2.3303752327086194e-32,3.8425311656063997e-32,1.2134110966024554e-32,2020-07-20 17:00:00
22,22,471.148961505263,2347.096752362093,24007.68286334312,13.768706265453726,0.00041921841700475664,0.0007310759663291338,2.0101745572206098e-08,2020-07-27 17:00:00
23,23,9.979572723751024e-12,8.683411198336409e-20,9.676843202612374e-17,1.0825610461502194e-18,1.5643365973284682e-31,6.240013019814599e-32,7.712418435744803e-35,2020-08-03 17:00:00
24,24,12474.594890309301,11909.386524399775,3483.1331540790725,902.2188232312067,1.0354542774208692e-05,4.001745812698677e-05,1.3933138833814792e-06,2020-08-10 17:00:00
25,25,1592.216100718456,1095.8408766867224,441.79256015598367,6.337143392533262e-05,5.249085795784697e-09,2.1044514098332707e-07,4.0960731385777134e-10,2020-08-17 17:00:00
26,26,807157.0649241288,395118.34485898324,9651.3930851058,26.67007408769557,0.003939249134227233,0.005598454863099678,3.5194606608079427e-06,2020-08-24 17:00:00
27,27,1.1671219546372394e-12,3.6031987482808643e-19,7.484383121938722e-18,1.5120067504081834e-18,2.1844378911726637e-30,2.5307923175462402e-33,4.70197740328915e-34,2020-08-31 17:00:00
28,28,375920.65660566074,71334.90361587894,2925.4522404569243,49.98996241537953,4.9567755347587275e-05,4.445989276201648e-05,3.3209528000725957e-09,2020-09-07 17:00:00
29,29,9.672262990534204e-13,4.4522169290052194e-20,1.1470858984896565e-16,1.3383649962210384e-18,2.0037375141404753e-30,1.1642366884442163e-30,3.9000081373841245e-33,2020-09-14 17:00:00
30,30,1.0311806963869613e-11,9.224188795599179e-19,2.836628637060009e-17,1.4870722180233931e-19,5.0339294847975135e-31,1.7564962575297586e-30,1.2134110966024554e-32,2020-09-21 17:00:00
31,31,4.9296122739407146e-12,3.057788939587957e-19,7.806255641895848e-18,1.255514586067703e-18,2.6364055008715947e-30,1.692711865184094e-32,1.3191985352102485e-35,2020-09-28 17:00:00
32,32,9.376999177135042e-12,6.759852314681445e-19,2.4192108006530935e-17,1.0524913765227045e-18,3.728600372333791e-31,4.671463450732726e-31,7.4648593254619435e-34,2020-10-05 17:00:00
33,33,2089767.7024747047,15102963.70463054,656622.1726334257,390.30145890495004,0.00013417493878582114,0.006748614218021654,6.880721120741161e-08,2020-10-12 17:00:00
34,34,57390882.39608403,9062270.376736911,1616111.4525347329,1480.9292768220428,0.00014812649253424654,0.0001223784058983977,6.915783473583138e-07,2020-10-19 17:00:00
35,35,687955963.9593421,1395538691.6860697,3845461.694450426,2606.1889760696704,0.00031113180871175216,3.4391716183678145e-06,3.2489934553033433e-07,2020-10-26 17:00:00
36,36,771973.6787188307,14580538.072458649,2412830.1088666385,21701.72825171534,2.2989531810963546e-05,7.001775190748912e-07,4.649676977988596e-09,2020-11-02 17:00:00
37,37,3.839650819514742e-12,1.2197274440462333e-17,3.25396177017201e-17,1.753569959053298e-18,8.905500062846283e-31,4.552717832599311e-32,9.885907490415001e-36,2020-11-09 17:00:00
38,38,43676.40785552293,6396538.305900247,1430937.4831092677,3056.451842289997,2.8400015074281616e-06,8.68283618813986e-06,1.2247081268242534e-12,2020-11-16 17:00:00
39,39,6.081857240047591e-12,3.7796642985561435e-16,9.79170087026004e-17,2.312452885563346e-18,1.9721522630524597e-29,3.458199808141554e-30,4.231779662960352e-37,2020-11-23 17:00:00
40,40,5.6843418860804904e-14,8.812530783233419e-16,3.131175874138068e-16,2.948521689392192e-18,8.493351054747852e-30,1.3267731386883148e-30,5.28314181033591e-34,2020-11-30 17:00:00
41,41,1376717.349889687,1640771.1962650511,13135882.492766464,327.2240212697006,3.1610022140555083e-06,3.842483909718825e-06,1.6620082067875473e-09,2020-12-07 17:00:00
42,42,3.98703292603367e-12,5.259600263998699e-16,5.100629120457917e-16,7.169286865560353e-18,1.8210871330397245e-31,0.0,2.680244669309851e-34,2020-12-14 17:00:00
43,43,1.818600825487184e-12,8.470329472543003e-18,2.8677147462240736e-15,3.5787142021495514e-18,1.158990410136721e-33,3.437905321352863e-31,4.4027435613437704e-33,2020-12-21 17:00:00
44,44,1.5481504966885964e-12,1.7564075194265045e-17,1.6037518535406086e-15,3.6339831019577736e-18,8.453026896537455e-33,2.359264181874275e-31,3.7035418890594395e-36,2020-12-28 17:00:00
45,45,2.418065747633551e-13,1.302397859698228e-17,4.0093796338515216e-16,1.9058241313222396e-19,3.721089245550669e-30,5.20771456962306e-31,7.405731959615611e-34,2021-01-04 17:00:00
46,46,3.0656033267463112e-12,5.903480829183474e-17,7.294512216482151e-16,5.507831739521074e-19,6.240013019814599e-32,1.4079029375957414e-30,1.0210626049886766e-32,2021-01-11 17:00:00
47,47,632396.383876874,20040813.79949761,1976139.9144760107,990.0430764860325,6.900673316717079e-06,3.554919300774311e-06,4.416055246533534e-09,2021-01-18 17:00:00
