,t,S0,I0,R0,D0,beta,gamma,f,data
0,0,59999775.547274366,209.57816794543342,3.2113449594243035,9.387089413675463,0.42670448861636384,0.023563158951816196,0.0073352904142183276,2020-02-24 18:00:00
1,1,59998005.69840524,1752.5527160589934,179.82136738279894,53.12029329722888,0.2786010337901573,0.026636499165188322,0.014637796329934205,2020-03-02 18:00:00
2,2,59991125.21385184,7661.58061144576,717.9080752683269,497.0660771704646,0.22061260721390505,0.021655152002902998,0.018131901787565925,2020-03-09 18:00:00
3,3,59972133.61636508,23140.650100616036,2650.266369738885,2086.5570601262098,0.1675587643180937,0.022949518943280924,0.01787582444262743,2020-03-16 17:00:00
4,4,59935524.938595355,50839.706353327594,7557.1094299811775,6086.340739549388,0.09514355464436634,0.01588301582356339,0.013327133114962291,2020-03-23 17:00:00
5,5,59898155.83411382,75465.9055256101,14635.63040623784,11743.350657927145,0.05621917214519024,0.015307564103315435,0.00886119805114028,2020-03-30 17:00:00
6,6,59868044.006888576,92641.26484860026,22740.414653144988,16573.89891404703,0.04198214220896503,0.02012627905686664,0.005905023836573452,2020-04-06 17:00:00
7,7,59840793.3585854,103736.91779930858,34923.98740168045,20545.62422591057,0.03134227584808269,0.018611497959396872,0.005058131262660329,2020-04-13 17:00:00
8,8,59818572.59413672,108222.8190417888,49008.35642868383,24196.143391540932,0.025979750696939443,0.025719690248606826,0.003994103350160181,2020-04-20 17:00:00
9,9,59800417.65776341,105941.09599588948,66642.76036865285,26998.206716638055,0.018513467087507337,0.025642951252964986,0.0031219616543733115,2020-04-27 17:00:00
10,10,59788113.20845895,99782.65786714945,83018.65844864566,29082.691851986503,0.013408083726950092,0.04210999692749284,0.002822652543402882,2020-05-04 17:00:00
11,11,59779943.99661065,83397.39320431504,105940.34569564476,30719.19699976563,0.01204798321204077,0.042245392249619464,0.0026353006752394695,2020-05-11 17:00:00
12,12,59774051.90427023,66580.62169443624,127335.90529366193,32031.096398347705,0.010639311593003353,0.03613713867100992,0.002179405273009079,2020-05-18 17:00:00
13,13,59769905.58329743,55450.87810938315,141778.16373478033,32865.61680899974,0.010080263158404065,0.05357694701771692,0.0018241462548636489,2020-05-25 17:00:00
14,14,59766822.90424049,41295.89529493309,158420.47618952018,33460.799552264514,0.008040961898506026,0.03257142328373723,0.0019138530018732603,2020-06-01 17:00:00
15,15,59764776.92532493,34693.50945104856,166558.00437816096,33972.49474894897,0.009083736313561708,0.05159486087075162,0.001993906864304035,2020-06-08 17:00:00
16,16,59762651.648281455,25699.163968473968,177292.30987405984,34355.8494605736,0.008147996323431482,0.042815652874319224,0.002071783639079825,2020-06-15 17:00:00
